,"age_(16.927, 41.333]","age_(41.333, 65.667]","age_(65.667, 90]","capital.gain_(-99.999, 33333]","capital.gain_(33333, 66666]","capital.gain_(66666, 99999]","capital.loss_(-4.356, 1452]","capital.loss_(1452, 2904]","capital.loss_(2904, 4356]","education.num_(0.985, 6]","education.num_(11, 16]","education.num_(6, 11]",education_10th,education_11th,education_12th,education_1st-4th,education_5th-6th,education_7th-8th,education_9th,education_Assoc-acdm,education_Assoc-voc,education_Bachelors,education_Doctorate,education_HS-grad,education_Masters,education_Preschool,education_Prof-school,education_Some-college,"fnlwgt_(10812.58, 503091.667]","fnlwgt_(503091.667, 993898.333]","fnlwgt_(993898.333, 1484705]","hours.per.week_(0.902, 33.667]","hours.per.week_(33.667, 66.333]","hours.per.week_(66.333, 99]",income==>50K,marital.status_Divorced,marital.status_Married-AF-spouse,marital.status_Married-civ-spouse,marital.status_Married-spouse-absent,marital.status_Never-married,marital.status_Separated,marital.status_Widowed,native.country_?,native.country_Cambodia,native.country_Canada,native.country_China,native.country_Columbia,native.country_Cuba,native.country_Dominican-Republic,native.country_Ecuador,native.country_El-Salvador,native.country_England,native.country_France,native.country_Germany,native.country_Greece,native.country_Guatemala,native.country_Haiti,native.country_Holand-Netherlands,native.country_Honduras,native.country_Hong,native.country_Hungary,native.country_India,native.country_Iran,native.country_Ireland,native.country_Italy,native.country_Jamaica,native.country_Japan,native.country_Laos,native.country_Mexico,native.country_Nicaragua,native.country_Outlying-US(Guam-USVI-etc),native.country_Peru,native.country_Philippines,native.country_Poland,native.country_Portugal,native.country_Puerto-Rico,native.country_Scotland,native.country_South,native.country_Taiwan,native.country_Thailand,native.country_Trinadad&Tobago,native.country_United-States,native.country_Vietnam,native.country_Yugoslavia,occupation_?,occupation_Adm-clerical,occupation_Armed-Forces,occupation_Craft-repair,occupation_Exec-managerial,occupation_Farming-fishing,occupation_Handlers-cleaners,occupation_Machine-op-inspct,occupation_Other-service,occupation_Priv-house-serv,occupation_Prof-specialty,occupation_Protective-serv,occupation_Sales,occupation_Tech-support,occupation_Transport-moving,race_Amer-Indian-Eskimo,race_Asian-Pac-Islander,race_Black,race_Other,race_White,relationship_Husband,relationship_Not-in-family,relationship_Other-relative,relationship_Own-child,relationship_Unmarried,relationship_Wife,sex==Male,workclass_?,workclass_Federal-gov,workclass_Local-gov,workclass_Never-worked,workclass_Private,workclass_Self-emp-inc,workclass_Self-emp-not-inc,workclass_State-gov,workclass_Without-pay
native.country_Haiti,-0.0033046073572123597 (p=0.371),0.006109102505747822 (p=0.098),-0.007063823070894637 (p=0.056),0.002633213995031737 (p=0.476),-0.0005394086954827723 (p=0.884),-0.002576818062502163 (p=0.486),-0.0002535214200313637 (p=0.945),0.00031524219336365194 (p=0.932),-0.0006762261308937198 (p=0.855),0.01660405550906551 (p=0.000),-0.006220797258609727 (p=0.092),-0.003624024605178903 (p=0.327),-0.0013067742863710527 (p=0.724),0.0018477735335150393 (p=0.617),-0.004270445712770332 (p=0.248),0.009019950633495418 (p=0.015),0.021189460553652638 (p=0.000),0.0007617110638562601 (p=0.837),0.01546294590302817 (p=0.000),0.007316948018031154 (p=0.048),-0.0077445115759389675 (p=0.036),-0.005043443914813466 (p=0.172),-0.0041693576305529625 (p=0.259),-0.002128547064078378 (p=0.565),-0.008695021083586848 (p=0.019),-0.001456960259700586 (p=0.693),0.0014056937449408837 (p=0.704),0.002301497397857762 (p=0.533),0.0038949040898315634 (p=0.292),-0.00382335952605112 (p=0.301),-0.0007351578944361819 (p=0.842),0.012209308117548662 (p=0.001),-0.011399299058862191 (p=0.002),-0.0004727393402767053 (p=0.898),-0.012896203018838674 (p=0.000),-0.0048803982242586605 (p=0.187),-0.000978001663165402 (p=0.791),-0.008785117399555516 (p=0.017),0.03293770770530904 (p=0.000),0.0027847775716862543 (p=0.451),0.0029441548420189524 (p=0.426),0.0031999444494077212 (p=0.386),-0.004966834979514238 (p=0.179),-0.0008888444865217646 (p=0.810),-0.002246587639595096 (p=0.543),-0.0017674763625661494 (p=0.632),-0.001567263666538013 (p=0.671),-0.0019898416328042305 (p=0.590),-0.0017074129996546303 (p=0.644),-0.0010791655222541045 (p=0.770),-0.0021022445179503073 (p=0.569),-0.0019366205039155792 (p=0.600),-0.0010982841595937151 (p=0.766),-0.0023911019352445243 (p=0.518),-0.0010982841595937151 (p=0.766),-0.0016324483697851134 (p=0.659),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Holand-Netherlands,0.004413014577245298 (p=0.232),-0.004088796431725225 (p=0.268),-0.001064207982001718 (p=0.773),0.0003967097312187486 (p=0.914),-8.126520632420051e-05 (p=0.982),-0.0003882133403907148 (p=0.916),-0.025819739665765618 (p=0.000),0.025923922174669645 (p=0.000),-0.00010187758652965408 (p=0.978),-0.0016478545587619645 (p=0.656),-0.003460429189659096 (p=0.349),0.004172230970643205 (p=0.259),-0.0009518373855796209 (p=0.797),-0.0010722813439327469 (p=0.772),-0.0006433686643371182 (p=0.862),-0.0003991047138079707 (p=0.914),-0.0005633304683392226 (p=0.879),-0.0007884545005648118 (p=0.831),-0.0007018522091054799 (p=0.849),-0.0010200608978970327 (p=0.782),-0.0011667578523841945 (p=0.752),-0.0024586980263780187 (p=0.506),-0.00062813912887151 (p=0.865),-0.003823581723869166 (p=0.301),-0.0013099579006944767 (p=0.723),-0.00021949993966033566 (p=0.953),-0.0007436967199946925 (p=0.840),0.010317319358326004 (p=0.005),0.0005867910308524929 (p=0.874),-0.0005760124064334166 (p=0.876),-0.00011075601574934049 (p=0.976),-0.002513446826338323 (p=0.496),0.0027304072355716384 (p=0.460),-0.0008823539727929718 (p=0.811),-0.003121183451419862 (p=0.398),-0.0022029454604571676 (p=0.551),-0.00014734190903506854 (p=0.968),-0.005114280351843362 (p=0.166),-0.0006319791328033283 (p=0.864),0.00793076345502563 (p=0.032),-0.0009991171899202131 (p=0.787),-0.0009828989976635066 (p=0.790),-0.0007482839501265917 (p=0.840),-0.00013390983718323504 (p=0.971),-0.00033846211524953993 (p=0.927),-0.0002662810823776811 (p=0.943),-0.00023611781992435895 (p=0.949),-0.00029978176510038175 (p=0.935),-0.00025723217081877236 (p=0.944),-0.0001625828607480139 (p=0.965),-0.0003167159445626835 (p=0.932),-0.0002917636777833574 (p=0.937),-0.00016546319994360375 (p=0.964),-0.00036023407434307366 (p=0.922),-0.00016546319994360375 (p=0.964),-0.0002459382926066103 (p=0.947),-0.0002038585376936069 (p=0.956),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Honduras,0.006450005553636104 (p=0.081),-0.005091367785820721 (p=0.168),-0.0038377637166534836 (p=0.299),0.0014306209296146882 (p=0.699),-0.00029305987695257905 (p=0.937),-0.0013999811101491329 (p=0.705),-0.0032028086777069246 (p=0.386),0.0032476218643012872 (p=0.379),-0.0003673925696256439 (p=0.921),0.005312060918280385 (p=0.151),-0.005635132568334758 (p=0.127),0.002248439724612538 (p=0.543),-0.003432531088200281 (p=0.353),0.01261880640231772 (p=0.001),-0.0023201262893937026 (p=0.530),0.020018467393996944 (p=0.000),0.013248570505827461 (p=0.000),-0.002843337134916259 (p=0.442),-0.002531030576834892 (p=0.493),-0.0036785598012173968 (p=0.319),-0.004207580686980203 (p=0.255),-0.004719426023042994 (p=0.201),-0.0022652052968622784 (p=0.540),-0.0006332079469223699 (p=0.864),-0.004723990974182257 (p=0.201),-0.0007915641664814212 (p=0.830),0.008980242235805104 (p=0.015),0.00032844904088370996 (p=0.929),0.0021160951294760698 (p=0.567),-0.002077225083009063 (p=0.574),-0.0003994101020031952 (p=0.914),0.007283482706872597 (p=0.049),-0.005664440890810223 (p=0.125),-0.003181958902112854 (p=0.389),-0.007660205586126847 (p=0.038),0.005491232689157303 (p=0.137),-0.0005313467310907008 (p=0.886),-0.012274056538667888 (p=0.001),0.025033516048474584 (p=0.000),-0.0008683165703842566 (p=0.814),0.014005723260137817 (p=0.000),-0.0035445459667318986 (p=0.337),-0.002698473458306896 (p=0.465),-0.00048290778037404856 (p=0.896),-0.001220567452353855 (p=0.741),-0.0009602670658963654 (p=0.795),-0.0008514918300618076 (p=0.818),-0.001081077759680556 (p=0.770),-0.0009276347374010788 (p=0.802),-0.0005863088930744803 (p=0.874),-0.0011421460664503274 (p=0.757),-0.0010521628059284181 (p=0.776),-0.0005966960180006601 (p=0.872),-0.0012990818368188767 (p=0.725),-0.0005966960180006601 (p=0.872),-0.0008869065745269265 (p=0.810),-0.0007351578944361819 (p=0.842),-0.00011075601574934048 (p=0.976),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Hong,0.014653918425633064 (p=0.000),-0.013101717207849228 (p=0.000),-0.004760671999310025 (p=0.198),0.0017746577184231773 (p=0.631),-0.0003635351348691057 (p=0.922),-0.0017366496123064259 (p=0.638),-0.0007200621601007716 (p=0.845),0.0007636801754920436 (p=0.836),-0.00045574340894976055 (p=0.902),0.006240482041584221 (p=0.091),0.012111672138910083 (p=0.001),-0.014871885194239636 (p=0.000),-0.004257988725946285 (p=0.249),0.001849518869979193 (p=0.617),-0.0028780719909487244 (p=0.436),-0.00178537153258749 (p=0.629),-0.002520025814818978 (p=0.495),0.005361909344949949 (p=0.147),0.006805013383716907 (p=0.066),0.00239941293526289 (p=0.516),0.0009292612065713591 (p=0.801),0.00237681779826539 (p=0.520),0.019343705877295808 (p=0.000),-0.006497162488877631 (p=0.079),0.01075124883692014 (p=0.004),0.03036347267208562 (p=0.000),-0.0033268836644111217 (p=0.368),-0.010342990062940044 (p=0.005),0.002624975265428162 (p=0.477),-0.0025767577211785334 (p=0.486),-0.0004954605414077548 (p=0.893),-0.007948455712035993 (p=0.031),0.009087662841135817 (p=0.014),-0.003947158753549622 (p=0.285),0.003431933876577802 (p=0.353),-0.009854747330384746 (p=0.008),-0.0006591253895209023 (p=0.858),0.00945423449911529 (p=0.011),-0.002827121589546751 (p=0.444),-0.0014832959341423942 (p=0.688),0.0026295875569827135 (p=0.477),-0.004396941026062509 (p=0.234),-0.0033474043693979866 (p=0.365),-0.0005990378037865181 (p=0.871),-0.0015140904241903405 (p=0.682),-0.001191192806538587 (p=0.747),-0.001056259220812918 (p=0.775),-0.00134105614612353 (p=0.717),-0.0011507130313336495 (p=0.755),-0.0007273048932361243 (p=0.844),-0.0014168102048798198 (p=0.701),-0.0013051877027142047 (p=0.724),-0.000740189921716335 (p=0.841),-0.001611486006425827 (p=0.663),-0.000740189921716335 (p=0.841),-0.0011001905294565958 (p=0.766),-0.0009119492135294612 (p=0.805),-0.00013739070507258992 (p=0.970),-0.0004954605414077548 (p=0.893),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Hungary,-0.01247854976979824 (p=0.001),0.007780251956724292 (p=0.035),0.01276399320880873 (p=0.001),0.0014306209296146882 (p=0.699),-0.00029305987695257905 (p=0.937),-0.0013999811101491329 (p=0.705),-0.0032028086777069246 (p=0.386),0.0032476218643012872 (p=0.379),-0.0003673925696256439 (p=0.921),-0.005942519265870808 (p=0.108),0.004630750584829065 (p=0.210),-0.0009509417320631099 (p=0.797),-0.003432531088200281 (p=0.353),-0.0038668780025960074 (p=0.295),-0.0023201262893937026 (p=0.530),-0.0014392577538430169 (p=0.697),-0.002031491276555932 (p=0.582),-0.002843337134916259 (p=0.442),-0.002531030576834892 (p=0.493),0.004956548387625488 (p=0.180),0.0034181030906421045 (p=0.355),0.007722083455256483 (p=0.037),-0.0022652052968622784 (p=0.540),0.002655655342236872 (p=0.472),-0.004723990974182257 (p=0.201),-0.0007915641664814212 (p=0.830),-0.0026819309161930614 (p=0.468),-0.0033593541385005935 (p=0.363),0.0021160951294760698 (p=0.567),-0.002077225083009063 (p=0.574),-0.0003994101020031952 (p=0.914),0.015457239980597068 (p=0.000),-0.013419880292276528 (p=0.000),-0.003181958902112854 (p=0.389),-0.00046929414952775046 (p=0.899),-0.0034657870278876294 (p=0.348),-0.0005313467310907008 (p=0.886),6.422834951466302e-05 (p=0.986),-0.0022790531799928107 (p=0.537),-0.0008683165703842566 (p=0.814),-0.0036030322690761324 (p=0.329),0.01433661620272466 (p=0.000),-0.002698473458306896 (p=0.465),-0.00048290778037404856 (p=0.896),-0.001220567452353855 (p=0.741),-0.0009602670658963654 (p=0.795),-0.0008514918300618076 (p=0.818),-0.001081077759680556 (p=0.770),-0.0009276347374010788 (p=0.802),-0.0005863088930744803 (p=0.874),-0.0011421460664503274 (p=0.757),-0.0010521628059284181 (p=0.776),-0.0005966960180006601 (p=0.872),-0.0012990818368188767 (p=0.725),-0.0005966960180006601 (p=0.872),-0.0008869065745269265 (p=0.810),-0.0007351578944361819 (p=0.842),-0.00011075601574934048 (p=0.976),-0.0003994101020031952 (p=0.914),-0.0004954605414077549 (p=0.893),0.9999999999999998 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_India,-0.0013621260972127873 (p=0.712),0.005521167852496437 (p=0.135),-0.01065829564562162 (p=0.004),-0.019406884686703464 (p=0.000),-0.0008138903384999894 (p=0.826),0.01999850906256941 (p=0.000),-0.007022169361171695 (p=0.057),0.007139733047903134 (p=0.053),-0.0010203282208549522 (p=0.782),-0.008376993065971575 (p=0.023),0.05429594747977169 (p=0.000),-0.046001579040429307 (p=0.000),-0.0028790720308368195 (p=0.436),0.007116721971281501 (p=0.054),-0.0064434899470831395 (p=0.081),-0.003997128479834771 (p=0.279),-0.005641888408365867 (p=0.127),-0.00789655904885624 (p=0.033),-0.0025763309398868293 (p=0.486),-0.0008633462382627312 (p=0.815),-0.006179034118031098 (p=0.094),0.00681855698587808 (p=0.065),0.01850807270151468 (p=0.000),-0.031169651692286478 (p=0.000),0.05382186356554852 (p=0.000),0.011837004917083806 (p=0.001),0.05991949848059226 (p=0.000),-0.016498925379339058 (p=0.000),0.005876851512860435 (p=0.112),-0.0057689010298208835 (p=0.118),-0.0011092477977539634 (p=0.764),-0.0030399911093096188 (p=0.411),0.0007455996569344476 (p=0.840),0.005460707577364012 (p=0.139),0.02066444839307537 (p=0.000),-0.018829197651264427 (p=0.000),-0.0014756642066639876 (p=0.690),0.020052697747112543 (p=0.000),0.038044514784456106 (p=0.000),-0.01396003263854341 (p=0.000),-0.0036489664994542406 (p=0.323),-0.0033881883115629706 (p=0.359),-0.007494241447354531 (p=0.043),-0.0013411388175001212 (p=0.717),-0.003389778455134939 (p=0.359),-0.0026668682708798444 (p=0.470),-0.0023647760348685324 (p=0.522),-0.0030023855633898116 (p=0.416),-0.0025762412728709376 (p=0.486),-0.0016283059571718806 (p=0.659),-0.003171985391879854 (p=0.391),-0.0029220825149419783 (p=0.429),-0.0016571532381784789 (p=0.654),-0.003607829795406589 (p=0.329),-0.0016571532381784789 (p=0.654),-0.0024631304007419284 (p=0.505),-0.00204169166306728 (p=0.581),-0.00030759328805603524 (p=0.934),-0.0011092477977539634 (p=0.764),-0.0013760005359757823 (p=0.710),-0.0011092477977539634 (p=0.764),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Iran,0.004660912529887378 (p=0.207),-0.0020471934464883694 (p=0.580),-0.006982983639456467 (p=0.059),0.0026030791063068933 (p=0.481),-0.0005332356229386282 (p=0.885),-0.0025473285771340226 (p=0.491),-0.00455949155544771 (p=0.217),0.004636363939852568 (p=0.210),-0.0006684872994710695 (p=0.856),-0.010812680997181225 (p=0.003),0.033765907712679406 (p=0.000),-0.025422100364952734 (p=0.000),-0.006245644651549683 (p=0.091),-0.007035958391791763 (p=0.057),-0.00422157410316981 (p=0.253),-0.0026187941963270447 (p=0.478),-0.003696389719442821 (p=0.317),-0.005173579761677651 (p=0.161),-0.004605323937038497 (p=0.213),0.012307214012153341 (p=0.001),-0.007655882245011241 (p=0.038),0.018086890269260504 (p=0.000),0.033663371491148744 (p=0.000),-0.017852339999520753 (p=0.000),0.014070079892841206 (p=0.000),-0.001440286591937375 (p=0.697),-0.004879893889418311 (p=0.187),-0.0012749648623403562 (p=0.730),0.0038503302338660137 (p=0.297),-0.003779604436609088 (p=0.306),-0.0007267446392332913 (p=0.844),-0.00525155618957457 (p=0.155),0.005117351453836678 (p=0.166),-0.0003435527753521874 (p=0.926),0.015120977284010564 (p=0.000),0.002790235429299942 (p=0.450),-0.0009668092681121292 (p=0.794),0.007165142314228704 (p=0.052),0.003365413997866312 (p=0.362),-0.01100136897287473 (p=0.003),-0.0017126351286992363 (p=0.643),0.003386876943521894 (p=0.359),-0.004909993788595184 (p=0.184),-0.0008786724193272403 (p=0.812),-0.0022208773598162614 (p=0.548),-0.0017472491027953078 (p=0.636),-0.001549327670343733 (p=0.675),-0.0019670695921353916 (p=0.594),-0.001687873113853847 (p=0.648),-0.0010668153931000844 (p=0.773),-0.0020781861221114673 (p=0.574),-0.001914457533683058 (p=0.604),-0.00108571523393858 (p=0.769),-0.002363737812585179 (p=0.522),-0.00108571523393858 (p=0.769),-0.0016137663902478087 (p=0.662),-0.00133765284376121 (p=0.717),-0.00020152555056814078 (p=0.957),-0.0007267446392332913 (p=0.844),-0.0009015127324366709 (p=0.807),-0.0007267446392332913 (p=0.844),-0.0020183262430167027 (p=0.585),1.0000000000000002 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Ireland,0.007693513535059343 (p=0.037),-0.008194437352207552 (p=0.027),0.0008949383081922203 (p=0.809),0.0019441596219853345 (p=0.599),-0.0003982572656396464 (p=0.914),-0.0019025212685985313 (p=0.607),0.00031420010868650467 (p=0.932),-0.0002704755408787358 (p=0.942),-0.0004992725777302783 (p=0.893),-0.003933385063710508 (p=0.287),0.000673883459643524 (p=0.855),0.0016062649881772868 (p=0.664),-0.004664679653949786 (p=0.207),0.0008126523464044868 (p=0.826),-0.003152963693157189 (p=0.393),-0.0019558967387709974 (p=0.597),-0.002760719650144657 (p=0.455),-0.0038639874022285544 (p=0.296),0.005639218289465276 (p=0.127),0.001357318390920873 (p=0.713),-0.00010464276438450042 (p=0.977),0.003214383535114849 (p=0.384),-0.0030783281458443786 (p=0.405),0.010313095799444399 (p=0.005),-0.0013647659065266328 (p=0.712),-0.001075705701508322 (p=0.771),-0.0036446424683728115 (p=0.324),-0.009159187641089818 (p=0.013),0.0028756930797281437 (p=0.436),-0.0028228701597767343 (p=0.445),-0.0005427831907483673 (p=0.883),-0.009309306104225198 (p=0.012),0.010526529129747246 (p=0.004),-0.004324161549887814 (p=0.242),-0.0020628619776558404 (p=0.577),-0.0009060449908049051 (p=0.806),-0.0007220800692037032 (p=0.845),-0.006899075080177673 (p=0.062),0.006955305261053713 (p=0.060),0.007533787770637784 (p=0.041),0.0015845575360066365 (p=0.668),-0.004816903628445545 (p=0.192),-0.003667123156133595 (p=0.321),-0.0006562533710440328 (p=0.859),-0.0016587049075361929 (p=0.653),-0.0013049665478757277 (p=0.724),-0.0011571451250209418 (p=0.754),-0.001469143701933244 (p=0.691),-0.0012606204502347651 (p=0.733),-0.0007967715642419176 (p=0.829),-0.001552133216309201 (p=0.674),-0.001429849375677567 (p=0.699),-0.0008108872733385511 (p=0.826),-0.0017654029802835556 (p=0.633),-0.0008108872733385511 (p=0.826),-0.0012052724205097313 (p=0.744),-0.0009990517156291906 (p=0.787),-0.0001505132276862705 (p=0.968),-0.0005427831907483673 (p=0.883),-0.0006733120975319332 (p=0.855),-0.0005427831907483673 (p=0.883),-0.001507425716014262 (p=0.683),-0.0009876184206757026 (p=0.789),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Italy,-0.026214889104742286 (p=0.000),0.024831522257055084 (p=0.000),0.004922077569600734 (p=0.183),0.003393243248842566 (p=0.358),-0.000695099189723026 (p=0.851),-0.0033205696576801232 (p=0.369),0.0070096383685708434 (p=0.058),-0.006957102950953645 (p=0.060),-0.0008714064856390027 (p=0.814),0.03106615956393216 (p=0.000),0.0021999840744024433 (p=0.552),-0.019719473243643013 (p=0.000),-0.004249282123554135 (p=0.250),-0.009171722155596243 (p=0.013),0.022840830035130603 (p=0.000),0.032840158698640674 (p=0.000),0.05972262120888568 (p=0.000),0.011882046553585546 (p=0.001),-0.006003269097826097 (p=0.104),0.005864385802297919 (p=0.112),-0.006758831345526473 (p=0.067),-9.845008308393261e-06 (p=0.998),0.00042983559759554824 (p=0.907),-0.009088914071421395 (p=0.014),-0.002502855836559205 (p=0.498),-0.0018774852991016934 (p=0.611),0.003490724311951083 (p=0.345),-0.011442770643691999 (p=0.002),-0.0011823532599937571 (p=0.749),0.0013880429052826697 (p=0.707),-0.000947347829244248 (p=0.798),-0.005962469459790135 (p=0.107),0.0004238488850829467 (p=0.909),0.013361849887490488 (p=0.000),0.011269939123851424 (p=0.002),-0.011276155588368598 (p=0.002),-0.0012602840282461751 (p=0.733),0.020096486827077875 (p=0.000),0.006130871854806026 (p=0.097),-0.016527913236525936 (p=0.000),-0.0011081993138211206 (p=0.764),0.006698360415157112 (p=0.070),-0.006400421421939412 (p=0.083),-0.0011453932566253748 (p=0.757),-0.002895024238581618 (p=0.433),-0.0022776262187889965 (p=0.538),-0.0020196257750681834 (p=0.585),-0.002564173173740649 (p=0.488),-0.0022002266602696983 (p=0.552),-0.0013906469924895974 (p=0.707),-0.0027090191041860986 (p=0.463),-0.0024955907354587887 (p=0.499),-0.0014152838762377868 (p=0.702),-0.0030812499532401607 (p=0.404),-0.0014152838762377868 (p=0.702),-0.002103624855522092 (p=0.569),-0.0017436970971763687 (p=0.637),-0.0002626985911714373 (p=0.943),-0.000947347829244248 (p=0.798),-0.0011751667422149011 (p=0.750),-0.000947347829244248 (p=0.798),-0.002630988770754159 (p=0.476),-0.0017237419708203696 (p=0.641),-0.0012874097949120446 (p=0.728),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Jamaica,0.010667060742129931 (p=0.004),-0.008453556519506772 (p=0.022),-0.0062607092790519904 (p=0.090),0.0035747819058084144 (p=0.333),-0.0007322870256977708 (p=0.843),-0.0034982202744528574 (p=0.344),0.010718658687665916 (p=0.004),-0.010675582769344494 (p=0.004),-0.000918026769383233 (p=0.804),-0.0035652159412684417 (p=0.335),-0.006480264165199945 (p=0.079),0.008085753356626705 (p=0.029),-0.001186125495529618 (p=0.748),0.003560294667640092 (p=0.335),0.004966994856154457 (p=0.179),-0.0035963632781593645 (p=0.330),0.0010516399684712828 (p=0.776),-0.0071048241582411025 (p=0.054),0.0035679623983492616 (p=0.334),0.015049074731682134 (p=0.000),-0.0013392246572360054 (p=0.717),-0.00885020339557789 (p=0.017),-0.00015092539772426384 (p=0.967),-0.00016182595574164535 (p=0.965),-0.006296162640795632 (p=0.088),-0.001977930841810223 (p=0.592),-0.006701508354429925 (p=0.070),0.007191541779950003 (p=0.052),0.005287619119243383 (p=0.152),-0.005190492105432944 (p=0.160),-0.0009980309780751415 (p=0.787),0.0002969311177678494 (p=0.936),0.0012773343493067899 (p=0.730),-0.003980540185018031 (p=0.281),-0.013706154044160705 (p=0.000),-0.010870693642595365 (p=0.003),-0.0013277092769256975 (p=0.719),-0.016396598572589096 (p=0.000),0.032641815316893405 (p=0.000),0.016314647837511142 (p=0.000),0.0086512383235115 (p=0.019),-0.005271484015010229 (p=0.154),-0.006742844238031556 (p=0.068),-0.0012066718441762188 (p=0.744),-0.0030499081574798443 (p=0.409),-0.00239947931758178 (p=0.516),-0.002127675839237485 (p=0.565),-0.002701356546712072 (p=0.465),-0.002317938879416398 (p=0.530),-0.0014650466652558426 (p=0.692),-0.002853951740547055 (p=0.440),-0.0026291049450888047 (p=0.477),-0.0014910016233239311 (p=0.687),-0.0032460969557290336 (p=0.380),-0.0014910016233239311 (p=0.687),-0.002216168874039397 (p=0.549),-0.0018369849654376908 (p=0.619),-0.0002767529768817309 (p=0.940),-0.0009980309780751415 (p=0.787),-0.0012380382125008567 (p=0.738),-0.0009980309780751415 (p=0.787),-0.0027717467809845945 (p=0.453),-0.001815962238979787 (p=0.623),-0.0013562862732525616 (p=0.714),-0.0023671972137310517 (p=0.522),1.0 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
native.country_Japan,0.0058673046344463395 (p=0.112),-0.0027332824967722055 (p=0.459),-0.008387442500526232 (p=0.023),-0.006765140731697887 (p=0.067),-0.0006404831168955959 (p=0.862),0.007046410408448849 (p=0.057),0.0025081145197106067 (p=0.497),-0.00244516699492082 (p=0.508),-0.0008029374084402235 (p=0.828),-0.010408682453854281 (p=0.005),0.021338574399802586 (p=0.000),-0.014032788527983266 (p=0.000),-0.0032791057848211573 (p=0.375),-0.008451071847540783 (p=0.022),-0.0050706419891889416 (p=0.170),-0.0031455015329399476 (p=0.395),-0.0044398294242282005 (p=0.229),-0.00621412064146481 (p=0.093),-0.0055315738533241185 (p=0.134),-0.004082458935615928 (p=0.269),-0.0022067310133042886 (p=0.550),0.016730445398211214 (p=0.000),0.0013446655700908618 (p=0.716),-0.004514056930365107 (p=0.222),0.011703914619054664 (p=0.002),-0.0017299655273277875 (p=0.640),0.010171224526139534 (p=0.006),-0.004871968039569991 (p=0.187),-0.008831249149042873 (p=0.017),0.009162462628827781 (p=0.013),-0.0008729118080261416 (p=0.813),-0.004826950200987967 (p=0.191),0.003749743953298969 (p=0.310),0.002119554735222773 (p=0.566),0.014943591843538166 (p=0.000),0.0031605143110621193 (p=0.392),-0.0011612596511678948 (p=0.753),0.003511040404032626 (p=0.342),0.0012771232066947265 (p=0.730),-0.005013991023317958 (p=0.175),0.00019478542705709463 (p=0.958),-0.003649588234990107 (p=0.323),-0.005897520702624551 (p=0.110),-0.0010553961994502318 (p=0.775),-0.002667553315022417 (p=0.470),-0.0020986661490921647 (p=0.570),-0.001860937590639093 (p=0.614),-0.0023626982319341922 (p=0.523),-0.002027348111005347 (p=0.583),-0.0012813795979335445 (p=0.729),-0.002496163173877673 (p=0.499),-0.0022995045259358174 (p=0.534),-0.0013040806862486128 (p=0.724),-0.002839146704763153 (p=0.442),-0.0013040806862486128 (p=0.724),-0.0019383366060039661 (p=0.600),-0.001606689474298387 (p=0.664),-0.00024205755806535706 (p=0.948),-0.0008729118080261416 (p=0.813),-0.0010828302910635805 (p=0.769),-0.0008729118080261416 (p=0.813),-0.002424263922795528 (p=0.512),-0.0015883022833542736 (p=0.667),-0.0011862540632449129 (p=0.748),-0.0020704311240696198 (p=0.575),-0.0021811992765538536 (p=0.555),0.9999999999999999 (p=0.000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
